PRODUCT_NAME,BRAND,REVIEW_DATE,RATING_BY_CUSTOMER,REVIEW_TITLE,REVIEW_TEXT,PRODUCT_RATING,TOTAL_REVIEW,LIKES,DISLIKES,SIZE,PACK_COUNT
"Kotex Overnight Period Panties (Medium/Large size, pack of 4 panties) for heavy flow period protection | with 360 degree anti-leakageï¿½ design & airy-soft fabric | 1 panty = ~3 regular pads",kotex,18-08-22,4,Comfort,Product is good to use,4.4,152,0,0,M/L,4
"Huggies Complete Comfort Wonder Pants with Aloe Vera, Medium (M) size baby diaper pants, 76 count",huggies,17-08-22,5,Good,Good,3.1,222,0,0,Medium,76
"Huggies Complete Comfort Wonder Pants with Aloe Vera, Large (L) size baby diaper pants, 64 count",huggies,17-08-22,1,Worst of all,"worst product ever. It doesn't stay for 1 hour, it starts leaking and my baby wakes up crying  because of that. Never buy it. Its a waste of money",3.1,166,0,0,Large,64
"Huggies Complete Comfort Wonder Pants with Aloe Vera, Large (L) size baby diaper pants, 64 count",huggies,17-08-22,1,Very bad product.. My daughter got allergic rashes after usage,Bad product,3.1,166,0,0,Large,64
"Huggies New Dry Large Size Diapers for Babies, L Size - (52 Counts)",huggies,17-08-22,3,Quality is below par,Quality is not good this time,3.9,1201,0,0,Large,52
"Huggies Dry Pants, Large (L) Size Baby Diaper Pants, 13 count, with Bubble Bed Technology for comfort",huggies,17-08-22,1,So cheap and low class fake product..,Really uncomfortable and irritating..,4,34,0,0,Large,13
"Huggies Dry Pants, Small (S) Size Baby Diaper Pants, 20 count, with Bubble Bed Technology for comfort",huggies,17-08-22,4,Good ??,All is ohk,4,288,0,0,Small,20
"Huggies Dry Pants, Small (S) Size Baby Diaper Pants, 36 count, with Bubble Bed Technology for comfort",huggies,17-08-22,5,all Good,all is okay,4,1274,0,0,Small,36
"Huggies Dry Pants, Small (S) Size Baby Diaper Pants, 36 count, with Bubble Bed Technology for comfort",huggies,17-08-22,4,Get soak fast,Get soak fast,4,1274,0,0,Small,36
"Huggies Wonder Pants Extra Large (XL) Size Baby Diaper Pants Monthly Pack, with Bubble Bed Technology for comfort, (12.0 kg - 17.0 kg) (112 count)",huggies,17-08-22,1,This new package is not good,Bubble bed diaper was better the new package is not at all good,4.2,782,0,0,XL,112
"Huggies Complete Comfort Wonder Pants, Large (L) Size Baby Diaper Pants, (42 count) with 5 in 1 Comfort",huggies,17-08-22,5,Huggies,Item is good but the price is being increased at a fast rate. Now difficult to buy.,4.2,72,0,0,Large,42
"Huggies Complete Comfort Wonder Pants, Extra Small (XS) Size Baby Diaper Pants, (90 count) with 5 in 1 Comfort",huggies,17-08-22,5,Best in diapers.,Good quality product.,4.2,680,0,0,XS/NB,90
"Huggies Complete Comfort Wonder Pants Small (S) Size Baby Diaper Pants, 86 count, with 5 in 1 Comfort",huggies,17-08-22,5,Hai,Value for money,4.2,2096,0,0,Small,86
"Huggies Complete Comfort Wonder Pants Large (L) Size Baby Diaper Pants Monthly Pack, 128 count, with 5 in 1 Comfort",huggies,17-08-22,1,Very poor product,It cause rashes on body,4.2,1570,0,0,Large,128
"Huggies Nature Care Pants for Babies, Medium (M) Size Baby Diaper Pants, 22 Count, Nature's gentle protection with 100% organic cotton, Medium Size , Pack of 22",huggies,17-08-22,3,In the pack of Middle size i got small size...not fair,Product is nice but I got small size,4.2,467,0,0,Medium,22
"Huggies Complete Comfort Wonder Pants, Medium (M) Size Baby Diaper Pants, 50 count, with 5 in 1 Comfort",huggies,17-08-22,5,"All are not leaking proof, 4 prices are leaked.please check  item properly","All are not leaking proof, 4 prices are leaked.please check  item properly.",4.2,191,0,0,Medium,50
"Huggies Nature Care Pants, Small (S) Size Baby Diaper Pants, 82 Count, Natureï¿½s gentle protection with organic cotton",huggies,17-08-22,5,Good,Very good for baby with sensitive skin. I tried many diaper...but this one works very fine...nd good,4.2,217,0,0,Small,82
"Huggies Complete Comfort Wonder Pants, Double Extra Large (XXL) Size Baby Diaper Pants, (24 count) with 5 in 1 Comfort",huggies,17-08-22,3,Leaks,Leak faster in 4 hours,4.2,1031,0,0,Double Extra Large,24
"Huggies Complete Comfort Wonder Pants, Extra Small (XS) Size Baby Diaper Pants, Combo Pack of 2, 24 count Per Pack, (48 count) with 5 in 1 Comfort",huggies,17-08-22,4,Good,Good,4.3,1659,0,0,XS/NB,48
"Huggies Complete Comfort Wonder Pants, Extra Small (XS) Size Baby Diaper Pants, Combo Pack of 2, 24 count Per Pack, (48 count) with 5 in 1 Comfort",huggies,17-08-22,5,all Good,it was good offer,4.3,1659,0,0,XS/NB,48
"Huggies Complete Comfort Wonder Pants, Extra Small (XS) Size Baby Diaper Pants, Combo Pack of 2, 24 count Per Pack, (48 count) with 5 in 1 Comfort",huggies,17-08-22,1,Combo ka offer show karte h.. But only one pack received hua,Dislike,4.3,1659,0,0,XS/NB,48
"Kotex Overnight Period Panties (Medium/Large size, pack of 4 panties) for heavy flow period protection | with 360 degree anti-leakageï¿½ design & airy-soft fabric | 1 panty = ~3 regular pads",kotex,17-08-22,5,Very comfortable for heavy flow days and over night,I like the faster absorbance of the kotex over night panties . It makes me sleep very well in night . Loved ?? it .,4.4,152,0,0,M/L,4
"Huggies Complete Comfort Wonder Pants with Aloe Vera, Medium (M) size baby diaper pants, 76 count",huggies,16-08-22,3,Didn't like this variety,The quality is not good. Even the quality is very poor. The cotton removes and even gave rashes and also it is not at all leak proof.,3.1,222,0,0,Medium,76
